tab_id,tab_label,tab_type,market_count,chip_specifiers,group,primary_specifier,market_ids_sample
regular_play,常规玩法,group,198,无,regular_play,,"1,7,8,9,10,11,12,13,14,15"
innings,分局,specifier_aggregate,176,"inningnr, dismissalnr, deliverynr",,inningnr,"287,288,343,344,345,346,347,348,349,350"
player_props,球员道具,group,135,"count, appearancenr",player_props,,"719,759,760,761,762,763,764,765,766,767"
micro_market,微盘口,group,78,"pitchnr, playnr, pointnr",micro_market,,"1061,1062,1063,1064,1065,1269,1270,1281,1282,1292"
sets,分盘,specifier_aggregate,58,"setnr, gamenr, legnr, endnr",,setnr,"202,203,204,205,206,207,208,209,210,211"
maps,分地图,specifier_aggregate,48,"mapnr, roundnr",,mapnr,"330,331,332,333,334,335,336,337,338,395"
bookings,罚牌,group,47,无,bookings,,"136,137,138,139,140,141,142,143,144,145"
corners,角球,group,46,cornernr,corners,,"162,163,164,165,166,167,168,169,170,171"
1st_half,上半场,group,43,"goalnr, pointnr",1st_half,,"60,61,62,63,64,65,66,68,69,70"
quarters,分节,specifier_aggregate,22,quarternr,,quarternr,"235,236,301,302,303,304,305,611,613,614"
combo,组合玩法,group,20,无,combo,,"112,134,231,232,265,292,293,294,295,423"
2nd_half,下半场,group,20,goalnr,2nd_half,,"83,84,85,86,87,88,90,91,92,93"
periods,分时段,specifier_aggregate,20,periodnr,,periodnr,"443,444,445,446,447,448,449,450,451,452"
frames,分Frame,specifier_aggregate,20,framenr,,framenr,"498,499,500,501,502,503,504,505,506,507"
scorers,射手,group,13,goalnr,scorers,,"38,39,40,882,892,893,898,899,900,901"
overs,分Over,specifier_aggregate,7,overnr,,overnr,"1135,1148,1149,1150,1151,1474,1475"
drives,分Drive,specifier_aggregate,2,drivenr,,drivenr,"959,1066"
